epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1506.23,1.8908,1.70904,1.39051,0.54456,0.39133,0.41516,0.22089,1.68074,1.7867,1.34945,0.0017294,0.0017294,0.0017294
43,1542.39,1.89421,1.64194,1.34442,0.60161,0.45283,0.44596,0.25985,1.50646,1.64389,1.2731,0.0017228,0.0017228,0.0017228
44,1578.8,1.90797,1.66947,1.3908,0.57888,0.42925,0.43099,0.22632,1.8288,1.67202,1.38541,0.0017162,0.0017162,0.0017162
45,1614.65,1.84218,1.63509,1.35646,0.5897,0.45914,0.45228,0.26015,1.55052,1.6214,1.28963,0.0017096,0.0017096,0.0017096
46,1650.74,1.83078,1.65723,1.35525,0.54972,0.39495,0.40584,0.21654,1.87556,1.74777,1.38532,0.001703,0.001703,0.001703
47,1686.66,1.9843,1.66619,1.43068,0.59094,0.41408,0.41421,0.21206,1.78429,1.75085,1.37234,0.0016964,0.0016964,0.0016964
48,1722.69,1.83215,1.64065,1.34472,0.56341,0.40106,0.42033,0.2365,1.62263,1.77697,1.32289,0.0016898,0.0016898,0.0016898
49,1758.2,1.88637,1.64751,1.3625,0.53595,0.42123,0.42936,0.22026,1.78612,1.69084,1.34192,0.0016832,0.0016832,0.0016832
50,1794.13,1.8497,1.58449,1.34389,0.58698,0.45065,0.43459,0.18344,2.16056,1.62349,1.4914,0.0016766,0.0016766,0.0016766
51,1832.64,1.84319,1.60424,1.37421,0.58406,0.43966,0.43299,0.25941,1.54185,1.58995,1.26655,0.00167,0.00167,0.00167
52,1871.87,1.87655,1.64832,1.33169,0.47888,0.38873,0.38852,0.17489,2.0206,1.79291,1.45396,0.0016634,0.0016634,0.0016634
53,1910.51,1.84547,1.64658,1.36539,0.56274,0.4185,0.42447,0.2267,1.68907,1.76079,1.33515,0.0016568,0.0016568,0.0016568
54,1949.36,1.77883,1.60467,1.32468,0.55122,0.40389,0.40327,0.19863,2.03503,1.70283,1.44036,0.0016502,0.0016502,0.0016502
55,1988.83,1.78271,1.61929,1.32925,0.5641,0.43567,0.4487,0.2523,1.61212,1.65797,1.31682,0.0016436,0.0016436,0.0016436
