epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision,val_recall
1,1.8019818449920078,1.6653196600175673,0.35537190082644626,0.30217051609446455,0.33558510468527025,0.3731139913592556
2,1.618339165201727,1.6333465383898826,0.36983471074380164,0.3273426700866699,0.4098104849148944,0.36955799268860084
3,1.5637514107632187,1.624016927134606,0.37913223140495866,0.3572623144554811,0.3576545730431158,0.3844300432037222
4,1.5092718387549777,1.6131382200025743,0.390495867768595,0.38921557807386514,0.3952387806572167,0.39651046859421735
5,1.466419073770631,1.5981337658820614,0.42458677685950413,0.4098801784599013,0.4353366075932101,0.4241110003323363
6,1.4085328466487381,1.668958475512843,0.384297520661157,0.37404044098102424,0.40904924372288454,0.3871718178796942
7,1.3852838075385903,1.608923537115897,0.3884297520661157,0.3817174469031535,0.3884060652008541,0.39843801927550676
8,1.2264458368409354,1.567588879216102,0.4369834710743802,0.44136836117882616,0.4412777564640058,0.4427883017613825
9,1.104448047449004,1.5965807899352042,0.4318181818181818,0.42095517314230074,0.41768361347631444,0.43831837819873704
10,1.071665106516964,1.6427003702809733,0.4369834710743802,0.42627864805119997,0.442982284008621,0.4393320039880359
11,0.8882276651994238,1.7024551976111628,0.4535123966942149,0.45779105154439775,0.4597545792129198,0.4589066134928547
12,0.7705997644730334,1.797113658920411,0.4628099173553719,0.47065635704287184,0.47626773237181635,0.4672981056829511
13,0.6929303030922728,1.7871321747379918,0.4462809917355372,0.4460561369098126,0.45199559035316633,0.44858757062146887
14,0.6363097578287125,1.8155385832632742,0.44111570247933884,0.4419904576100777,0.45150494735754254,0.4428215353938186
15,0.6007410653357236,1.8311178299688524,0.43078512396694213,0.4300866970786612,0.4357590218939766,0.43388168826852774
16,0.5653952860607291,1.846533073532966,0.45144628099173556,0.4559895194797206,0.4608775941363736,0.45521768029245596
17,0.5571383918231388,1.8195797935608895,0.44731404958677684,0.4508006542011402,0.4525002962983171,0.4508640744433367
18,0.5499370269617945,1.858342372602032,0.4462809917355372,0.4506158468250077,0.45884410722217694,0.4503157195081422
19,0.5378524385533243,1.8484534486647575,0.44834710743801653,0.4524014262481191,0.45493781610452205,0.4527085410435361
20,0.5380436151095156,1.86352107409508,0.4462809917355372,0.450285488881573,0.45614686328304654,0.45117979395147884
21,0.5353489602511784,1.8565038673339351,0.44731404958677684,0.4500870289853676,0.4520279139946805,0.45129611166500494
22,0.5250036789561218,1.8727352676853057,0.4462809917355372,0.45109612926635223,0.46271439386784974,0.448587570621469
