epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision,val_recall
1,1.7651276284793638,1.6522868948598062,0.3419421487603306,0.32897907150867084,0.3733505220269926,0.3383349950149552
2,1.6466389748285402,1.6917332776131169,0.3543388429752066,0.31595231453007583,0.41382205579515646,0.3457793286806248
3,1.5971429719115204,1.6356704696532218,0.3677685950413223,0.3325368356594977,0.4506558805571556,0.35852442671984047
4,1.5548785677495993,1.6300199358694014,0.3646694214876033,0.3422616574930244,0.3813967938488907,0.37243270189431704
5,1.517763593286838,1.5826627016067505,0.371900826446281,0.36452934602743475,0.4106407414318854,0.3741110003323363
6,1.4971182346343994,1.7606857976605814,0.3543388429752066,0.28836194645812063,0.4139047283348279,0.3462113659022931
7,1.460274631122373,1.5548390611525504,0.4018595041322314,0.3981990187005285,0.4323133656940897,0.4059986706547025
8,1.422516220020798,1.578835621956856,0.3987603305785124,0.38983111332335035,0.4413778838755629,0.39787304752409436
9,1.4111473155471514,1.6013096936287419,0.390495867768595,0.3815177310950031,0.43687444217571425,0.3861415752741775
10,1.3230658055476423,1.6531724429899646,0.3646694214876033,0.3769974081613201,0.46614971600721794,0.36119973413094053
11,1.270509790699437,1.663468680074138,0.38326446280991733,0.3872401129676826,0.45182434048616127,0.3814390162844799
12,1.191633366188913,1.6115427824758715,0.42768595041322316,0.4373614544827513,0.46439638685306256,0.4270521768029247
13,1.151669958852372,1.6705875242910078,0.3977272727272727,0.40854990601343816,0.4423446530249861,0.398620804253905
14,1.091356800412232,1.6886652708053589,0.41735537190082644,0.42601642666453143,0.4520240163659399,0.41681621801262886
15,1.0703463548759244,1.7282557006805175,0.4152892561983471,0.42277673673592503,0.440328231966133,0.41701561980724494
16,1.0352127642001745,1.7397452362122074,0.40082644628099173,0.40388250395399455,0.4288697165286677,0.40199401794616146
17,1.0201027590148855,1.7339358810455567,0.41838842975206614,0.42604330586432787,0.43875601420020743,0.42168494516450644
18,0.9998872780574942,1.755372316606583,0.39979338842975204,0.4072767656852056,0.42463368159430265,0.4023097374543037
19,0.9858280060426244,1.7900113309583356,0.4080578512396694,0.413898333918691,0.4360824015547089,0.40928880026586906
20,0.9738834933289942,1.7704061442805874,0.4194214876033058,0.42220211936791063,0.43894866199308497,0.419641076769691
21,0.9820975740000887,1.7822504543489026,0.4152892561983471,0.4195301268599801,0.43391576019456574,0.41744765702891323
22,0.9614684874156736,1.7671783585702219,0.41632231404958675,0.423426110607143,0.43490909588241483,0.4188600864074443
