epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision,val_recall
1,1.9299517003995068,1.7478470071669547,0.31508264462809915,0.2798081643820725,0.29178664777254254,0.31500498504486546
2,1.81501057237949,1.733040448158018,0.32541322314049587,0.30094691166380466,0.3221380977606725,0.3213526088401462
3,1.7993713718540263,1.7371002320320375,0.32334710743801653,0.3047169061616753,0.33720620001549123,0.3206879361914257
4,1.783760738822649,1.8041454745877175,0.31921487603305787,0.27552103070542705,0.3436229684358327,0.31719840478564304
5,1.7422163801373176,1.7336397978567308,0.32954545454545453,0.3097817848301851,0.3269372843145199,0.3300265869059488
6,1.723426989789279,1.720821480597219,0.32334710743801653,0.31139059365789257,0.31857461331169507,0.3228481222997674
7,1.7187274953104414,1.7260234240562684,0.3119834710743802,0.2935318878728142,0.31424807293600265,0.3142239946826188
8,1.716564509103883,1.742588435449908,0.3285123966942149,0.30108880810331756,0.336865565178792,0.32472582253240284
9,1.7035785452374872,1.716998073362535,0.32954545454545453,0.3136172039078771,0.32421415764613,0.32700232635427046
10,1.6881021958477092,1.7175856674871137,0.32541322314049587,0.310916693334061,0.330659442329376,0.3235127949484879
11,1.6840823855040208,1.7169433486077093,0.32644628099173556,0.3182196130862646,0.34336631743640306,0.3249252243270189
12,1.669798046912787,1.701553636981595,0.3440082644628099,0.33404666805282796,0.33854870182970115,0.3454802259887006
13,1.6753503230382811,1.7101889848709106,0.33161157024793386,0.3226774079125871,0.34143110565524354,0.3306912595546693
14,1.6745197919179808,1.698767665893801,0.33367768595041325,0.3316645700860575,0.32919546525259064,0.33783649052841475
15,1.6756614334178421,1.7000033470892137,0.3512396694214876,0.34601203539592046,0.35494919766458194,0.3510468594217348
16,1.664157380472939,1.6981151103973389,0.33884297520661155,0.32607411513524626,0.33270848579599005,0.3379860418743768
17,1.6608711616048273,1.6968419359576317,0.3367768595041322,0.32923967490481226,0.3352118540711159,0.3373213692256564
18,1.666546201930856,1.6998275133871263,0.33884297520661155,0.3331211930520275,0.3421354678275687,0.33841807909604515
19,1.6634663568352752,1.6984006589458835,0.3440082644628099,0.32919021718821645,0.33410468979795166,0.34504818876703225
20,1.6701683323338348,1.6992809234126922,0.33264462809917356,0.3253201665095476,0.3344443147519928,0.33296776337653705
21,1.6633549872434363,1.693192966522709,0.3440082644628099,0.3396158162096086,0.34518639071621043,0.34504818876703225
22,1.6656905468904748,1.6931316660296531,0.3274793388429752,0.3197912755207642,0.32527542325153164,0.32633765370555
23,1.644244984635767,1.6896491127629434,0.3409090909090909,0.3379289189114694,0.3408186951819734,0.34253904951811237
24,1.647769737918422,1.6925832340794225,0.33367768595041325,0.33063485205142545,0.33456181976413113,0.3343801927550681
25,1.6565532043295086,1.6974681538920249,0.3378099173553719,0.33063750909575856,0.33546602690122596,0.33700564971751407
