epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision,val_recall
1,1.3929490781092382,1.369251209955949,0.5490909090909091,0.5239580817379765,0.5487600682053497,0.5479591836734694
2,1.1194101978134323,1.3035037540472472,0.5806060606060606,0.5503579779978407,0.6198558474986984,0.5799319727891156
3,1.077913639309642,1.1036681005587945,0.5684848484848485,0.547501293072129,0.5820880007892532,0.5704081632653061
4,0.9649766546029311,1.3035208055606256,0.6096969696969697,0.5948302874534228,0.6226227426593672,0.6098639455782313
5,0.9364970247824114,1.2478811821112266,0.5696969696969697,0.572264417039919,0.5999629471310576,0.5709183673469388
6,0.7708174108148931,1.135513036296918,0.6133333333333333,0.6053557761627955,0.6069418542707801,0.6159863945578231
7,0.7232316716031714,1.2426303126491034,0.5818181818181818,0.5683617900397764,0.5928805071732048,0.5846938775510203
8,0.6070117308543279,1.2771676618319292,0.616969696969697,0.6148832527122001,0.6264669948688165,0.6180272108843538
9,0.5592300213955261,1.5031098173214839,0.566060606060606,0.548129802526862,0.5694325104193855,0.5702380952380952
10,0.49036707802788243,1.3667707082170706,0.6145454545454545,0.6080545400419474,0.6153332787305342,0.6161564625850341
11,0.43542957813530175,1.489928082204782,0.6,0.5954880808514253,0.6114612732389185,0.6022108843537416
12,0.38590854037921507,1.5292257827061873,0.6,0.5946831795067027,0.605160358522712,0.6022108843537415
13,0.37908487824293285,1.5328544108913496,0.5975757575757575,0.589570085844641,0.5993796581624584,0.6
