epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision,val_recall
1,1.8471739494575645,1.811332025835591,0.25,0.18061646742773743,0.17185369700613604,0.23725490196078433
2,1.810889665810567,1.7890767705055974,0.2644628099173554,0.20459082762652656,0.18923006674151419,0.25098039215686274
3,1.7932094245586756,1.7663776028540827,0.2675619834710744,0.22541182330926066,0.3153878966717822,0.25824194084413427
4,1.784518225013085,1.75993194887715,0.27892561983471076,0.20287622404529104,0.23562712568293712,0.2647058823529412
5,1.7719355832855657,1.7348898687670309,0.32644628099173556,0.28447171864857523,0.3249916731060485,0.33054170820870726
6,1.7652447920925212,1.7317609825441915,0.30888429752066116,0.27824808752074043,0.2919140003364716,0.3043702226653373
7,1.7575240652516204,1.7330548378729052,0.30578512396694213,0.27171854598332434,0.27469062146095635,0.3204386839481555
8,1.7507180279155947,1.7169976157526816,0.3140495867768595,0.27680026311790035,0.30271606245835936,0.31100033233632435
9,1.7491809006007213,1.7216198213638798,0.3243801652892562,0.2912035625002516,0.28380862425876874,0.3233964772349618
10,1.740564762421374,1.7189648112943094,0.32231404958677684,0.2954217034774975,0.3057517214403079,0.32013958125623126
11,1.7168466122645252,1.6972453632662374,0.34607438016528924,0.30756173330296094,0.29004059327164805,0.3508973080757727
12,1.7144549365313548,1.6940288889792658,0.32644628099173556,0.29885308687766,0.2853489416880021,0.3275174476570289
13,1.709491268643793,1.6868338238808416,0.3440082644628099,0.31416449232753213,0.2935353086171205,0.35152874709205717
14,1.7053793657500789,1.67790767838878,0.34607438016528924,0.31673842989757484,0.29651331605834946,0.3474410103024261
15,1.6961402555681624,1.6677767307527605,0.3574380165289256,0.3293978497590396,0.3076277853854108,0.3590893984712529
16,1.6897302314920246,1.6840452032704507,0.35537190082644626,0.31856559439030707,0.33673569809473985,0.3506480558325025
17,1.6852090864811304,1.67474381385311,0.37086776859504134,0.33490922796569905,0.3481532904763214,0.3726985709538053
18,1.678401843556818,1.6561208386575021,0.371900826446281,0.33687693213257613,0.31201603120296056,0.37367896311066806
19,1.6761239879536178,1.653637655319706,0.381198347107438,0.35282375505996977,0.4070774215370702,0.38552675307411105
20,1.6764460071077887,1.6564772321331886,0.3739669421487603,0.3465431358574824,0.4051824182091372,0.37520771020272514
21,1.673164629711295,1.6520658769915182,0.368801652892562,0.33512848444654425,0.3123556933388935,0.37376204719175804
22,1.6741565522157922,1.6488753018840667,0.3822314049586777,0.3474170201978189,0.37135717963300047,0.3865071452309738
23,1.6668226696410269,1.6441733837127686,0.375,0.33999633479965546,0.37484750563152436,0.3783482884679295
24,1.6592180279065978,1.6537623174728886,0.381198347107438,0.34796763877398157,0.49372084920791265,0.3812063808574277
25,1.6678807206873625,1.6401102946650596,0.38016528925619836,0.3395094890645456,0.31049732486657716,0.382818212030575
26,1.660137046058223,1.6395866140242545,0.378099173553719,0.34141089414786024,0.3129315606890945,0.3825855766035227
27,1.6603041707344774,1.6713876570424726,0.3605371900826446,0.3255935670973829,0.3575795635910002,0.36159853772017275
28,1.653692418674253,1.6413142950304094,0.3915289256198347,0.35945625090108035,0.3756988733966405,0.39230641409106015
29,1.6499159032443784,1.6331956309656943,0.39462809917355374,0.3611556207721147,0.3327266796758216,0.39740777666999
30,1.6504510269974761,1.6365291226294734,0.39669421487603307,0.36353204917874216,0.419907198644089,0.3989365237620472
31,1.6484538114295815,1.6338293552398682,0.38739669421487605,0.3502517154369312,0.3230218506015497,0.3901129943502825
32,1.639243463300309,1.6349281111071188,0.384297520661157,0.3474830104300222,0.3756788364222046,0.3871718178796943
33,1.640487108590468,1.6347144630647474,0.39669421487603307,0.3646994710692923,0.5033687093036773,0.3980724493187105
34,1.6423173265637092,1.63225503506199,0.40082644628099173,0.3684057854496965,0.3955971397362184,0.40285809238949816
35,1.627953922973489,1.630763703776944,0.390495867768595,0.35787081900662265,0.38524654034478095,0.39305417082087074
36,1.6354703442105707,1.629622624766442,0.38739669421487605,0.3531241847659167,0.3783924118652153,0.3901129943502825
37,1.6373495077187161,1.6293943351314915,0.4018595041322314,0.3692286362290795,0.38030646478971303,0.4042705217680292
38,1.6293522828030136,1.6297623803538661,0.39979338842975204,0.36677078892443965,0.42136585115374503,0.4023097374543037
39,1.6439758572938308,1.6290650560009865,0.3956611570247934,0.3619832822603315,0.36660947332520716,0.39795613160518445
40,1.6360008221752238,1.6287112582114436,0.3925619834710744,0.35873901733467645,0.38310302829251947,0.3950149551345962
41,1.6314592496404108,1.6286175193325165,0.3884297520661157,0.3545879022596736,0.38182206666863827,0.39109338650714526
42,1.6310920096793264,1.6275489714837843,0.3915289256198347,0.3572855337093661,0.33045735180802027,0.3940345629777335
43,1.6358655128838882,1.6270381193007193,0.3956611570247934,0.3621227919478344,0.3735987143592531,0.39795613160518445
44,1.6391513291394935,1.6282236537625712,0.3987603305785124,0.36751590569041753,0.4038307479907897,0.40089730807577273
45,1.6299075371814224,1.6270450968896188,0.40289256198347106,0.3684390301369033,0.3927751449318548,0.40525091392489193
46,1.6359064061686677,1.627578843024469,0.40289256198347106,0.37088201181952657,0.45039493854127083,0.40568295114656033
47,1.6331147506551922,1.627960822274608,0.3987603305785124,0.36556561651957536,0.3921654696304036,0.40132934529744096
48,1.6295355805810892,1.6278142159984959,0.3977272727272727,0.36482205113999017,0.3773799060384426,0.4003489531405782
49,1.6362558861948409,1.6277817641535113,0.39979338842975204,0.366929687815966,0.37961766520879675,0.4023097374543038
50,1.6304116339053747,1.6280628904219596,0.3987603305785124,0.36610055016270726,0.37904604050844465,0.40132934529744096
51,1.630025272099477,1.6279253805837324,0.3987603305785124,0.3659844400162185,0.3788372611742177,0.40132934529744096
52,1.6264149512884751,1.627656348289982,0.3977272727272727,0.36474654437008347,0.3772802374292746,0.4003489531405782
53,1.638279693306617,1.6275516402336858,0.3987603305785124,0.365710940028879,0.3781929141685239,0.40132934529744096
54,1.6246114699345715,1.6275442915578042,0.39979338842975204,0.3668059757005783,0.3794749854102726,0.4023097374543038
